# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.1509 818.806 0.765832
  2 2.1509 822.772 0.769541
  3 3.1509 814.948 0.762224
  4 4.1509 817.824 0.764913
  5 5.1509 824.18 0.770858
  6 6.1509 832.832 0.778951
  7 7.1509 833.456 0.779534
  8 8.1509 835.026 0.781003
  9 9.1509 819.9 0.766855
  10 10.1509 824.6 0.771251
  11 11.1509 827.306 0.773782
  12 12.1509 817.798 0.764889
  13 13.1509 827.91 0.774347
  14 14.1509 825.47 0.772065
  15 15.1509 823.386 0.770116
  16 16.1509 821.286 0.768151
  17 17.1509 826.912 0.773414
  18 18.1509 827.522 0.773984
  19 19.1509 825.162 0.771777
  20 20.1509 824.622 0.771272
  21 21.1509 826.804 0.773312
  22 22.1509 828.214 0.774631
  23 23.1509 822.534 0.769319
  24 24.1509 823.894 0.770591
  25 25.1509 820.31 0.767239
  26 26.1509 820.758 0.767658
  27 27.1509 827.318 0.773793
  28 28.1509 829.628 0.775954
  29 29.1509 830.786 0.777037
  30 30.1509 830.788 0.777039
  31 31.1509 827.884 0.774323
  32 32.1509 838.792 0.784525
  33 33.1509 580.572 0.543011
9000000 33 54000
  1 1.1509 824.035 0.770723
  2 2.1509 825.298 0.771904
  3 3.1509 825.346 0.771949
  4 4.1509 823.323 0.770057
  5 5.1509 834.72 0.780716
  6 6.1509 831.894 0.778073
  7 7.1509 827.572 0.774031
  8 8.1509 828.652 0.775041
  9 9.1509 824.129 0.770811
  10 10.1509 830.549 0.776815
  11 11.1509 830.13 0.776423
  12 12.1509 822.329 0.769127
  13 13.1509 825.648 0.772231
  14 14.1509 823.757 0.770463
  15 15.1509 825.762 0.772338
  16 16.1509 822.725 0.769497
  17 17.1509 820.352 0.767278
  18 18.1509 822.08 0.768894
  19 19.1509 822.732 0.769504
  20 20.1509 825.978 0.77254
  21 21.1509 817.938 0.76502
  22 22.1509 823.882 0.77058
  23 23.1509 820.311 0.76724
  24 24.1509 825.031 0.771654
  25 25.1509 823.966 0.770658
  26 26.1509 822.34 0.769137
  27 27.1509 827.748 0.774195
  28 28.1509 828.674 0.775062
  29 29.1509 826.175 0.772724
  30 30.1509 826.515 0.773042
  31 31.1509 826.764 0.773275
  32 32.1509 833.321 0.779408
  33 33.1509 580.324 0.542779
10000000 33 81000
  1 1.1509 828.233 0.774649
  2 2.1509 826.419 0.772953
  3 3.1509 824.324 0.770993
  4 4.1509 824.999 0.771624
  5 5.1509 829.807 0.776122
  6 6.1509 827.654 0.774108
  7 7.1509 825.789 0.772363
  8 8.1509 825.798 0.772372
  9 9.1509 824.671 0.771317
  10 10.1509 828.037 0.774466
  11 11.1509 828.201 0.774619
  12 12.1509 824.081 0.770765
  13 13.1509 826.523 0.77305
  14 14.1509 825.39 0.77199
  15 15.1509 825.543 0.772133
  16 16.1509 822.705 0.769479
  17 17.1509 821.745 0.768581
  18 18.1509 823.103 0.769851
  19 19.1509 824.567 0.771221
  20 20.1509 826.267 0.772811
  21 21.1509 819.843 0.766802
  22 22.1509 820.489 0.767406
  23 23.1509 818.382 0.765435
  24 24.1509 822.621 0.7694
  25 25.1509 823.965 0.770657
  26 26.1509 824.653 0.771301
  27 27.1509 829.307 0.775654
  28 28.1509 828.675 0.775063
  29 29.1509 827.558 0.774018
  30 30.1509 829.65 0.775974
  31 31.1509 831.52 0.777723
  32 32.1509 830.581 0.776845
  33 33.1509 578.899 0.541446
11000000 33 108000
  1 1.1509 827.021 0.773515
  2 2.1509 825.87 0.772439
  3 3.1509 825.124 0.771742
  4 4.1509 823.372 0.770103
  5 5.1509 827.283 0.773761
  6 6.1509 825.797 0.77237
  7 7.1509 825.131 0.771748
  8 8.1509 825.165 0.77178
  9 9.1509 822.208 0.769014
  10 10.1509 827.915 0.774352
  11 11.1509 829.266 0.775616
  12 12.1509 823.921 0.770616
  13 13.1509 824.376 0.771042
  14 14.1509 825.253 0.771862
  15 15.1509 827.594 0.774052
  16 16.1509 826.904 0.773406
  17 17.1509 823.067 0.769817
  18 18.1509 826.057 0.772614
  19 19.1509 826.178 0.772727
  20 20.1509 829.108 0.775467
  21 21.1509 820.901 0.767791
  22 22.1509 818.917 0.765936
  23 23.1509 817.744 0.764839
  24 24.1509 823.904 0.770601
  25 25.1509 822.958 0.769716
  26 26.1509 825.326 0.77193
  27 27.1509 827.321 0.773796
  28 28.1509 828.033 0.774462
  29 29.1509 827.02 0.773515
  30 30.1509 828.705 0.775091
  31 31.1509 832.096 0.778262
  32 32.1509 831.894 0.778073
  33 33.1509 578.569 0.541137
12000000 33 135000
  1 1.1509 825.717 0.772296
  2 2.1509 827.37 0.773842
  3 3.1509 824.912 0.771543
  4 4.1509 822.562 0.769345
  5 5.1509 825.612 0.772198
  6 6.1509 823.424 0.770151
  7 7.1509 824.699 0.771343
  8 8.1509 824.796 0.771434
  9 9.1509 822.918 0.769678
  10 10.1509 827.257 0.773736
  11 11.1509 827.265 0.773743
  12 12.1509 825.167 0.771782
  13 13.1509 827.358 0.773831
  14 14.1509 827.013 0.773508
  15 15.1509 830.373 0.77665
  16 16.1509 826.613 0.773134
  17 17.1509 826.343 0.772882
  18 18.1509 827.595 0.774053
  19 19.1509 826.796 0.773305
  20 20.1509 827.252 0.773731
  21 21.1509 819.944 0.766897
  22 22.1509 819.101 0.766108
  23 23.1509 818.937 0.765954
  24 24.1509 824.086 0.77077
  25 25.1509 823.28 0.770016
  26 26.1509 824.99 0.771615
  27 27.1509 825.455 0.772051
  28 28.1509 826.377 0.772913
  29 29.1509 826.511 0.773038
  30 30.1509 829.907 0.776215
  31 31.1509 831.956 0.778131
  32 32.1509 830.67 0.776928
  33 33.1509 577.747 0.540368
