# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 32.4048
20000 32.3946
30000 32.3849
40000 32.3859
50000 32.382
60000 32.3822
70000 32.383
80000 32.3874
90000 32.394
100000 32.3993
110000 32.4055
120000 32.4144
130000 32.4213
140000 32.426
150000 32.4306
160000 32.4355
170000 32.4412
180000 32.4476
190000 32.451
200000 32.4538
210000 32.4579
220000 32.4656
230000 32.4726
240000 32.4774
250000 32.4822
260000 32.4869
270000 32.4902
280000 32.4915
290000 32.4942
300000 32.4996
310000 32.5045
320000 32.5092
330000 32.5141
340000 32.5177
350000 32.5224
360000 32.5272
370000 32.5307
380000 32.5365
390000 32.5426
400000 32.5504
410000 32.5593
420000 32.5679
430000 32.5762
440000 32.5851
450000 32.5941
460000 32.604
470000 32.6125
480000 32.6205
490000 32.6296
500000 32.6397
510000 32.6499
520000 32.6595
530000 32.6683
540000 32.6775
550000 32.6876
560000 32.6989
570000 32.7094
580000 32.7194
590000 32.7305
600000 32.7411
610000 32.7512
620000 32.7618
630000 32.7725
640000 32.7831
650000 32.793
660000 32.802
670000 32.8105
680000 32.8187
690000 32.8267
700000 32.8345
710000 32.8425
720000 32.8509
730000 32.859
740000 32.8663
750000 32.8739
760000 32.8816
770000 32.8897
780000 32.8975
790000 32.9048
800000 32.9119
810000 32.9189
820000 32.9258
830000 32.9329
840000 32.9404
850000 32.9487
860000 32.9572
870000 32.9645
880000 32.9713
890000 32.9788
900000 32.9865
910000 32.9943
920000 33.0021
930000 33.0098
940000 33.0177
950000 33.0257
960000 33.033
970000 33.0403
980000 33.048
990000 33.0556
1000000 33.0624
1010000 33.0689
1020000 33.0757
1030000 33.0818
1040000 33.0884
1050000 33.0953
1060000 33.1022
1070000 33.1088
1080000 33.1153
1090000 33.1218
1100000 33.1284
1110000 33.1345
1120000 33.1405
1130000 33.1467
1140000 33.1531
1150000 33.1595
1160000 33.166
1170000 33.1725
1180000 33.1788
1190000 33.1851
1200000 33.1916
1210000 33.1981
1220000 33.2044
1230000 33.2106
1240000 33.2172
1250000 33.224
1260000 33.231
1270000 33.2385
1280000 33.2459
1290000 33.2533
1300000 33.261
1310000 33.2682
1320000 33.2755
1330000 33.283
1340000 33.291
1350000 33.299
1360000 33.307
1370000 33.3149
1380000 33.3227
1390000 33.3306
1400000 33.3387
1410000 33.3468
1420000 33.3548
1430000 33.3622
1440000 33.3694
1450000 33.3766
1460000 33.384
1470000 33.3912
1480000 33.3985
1490000 33.4058
1500000 33.4134
1510000 33.4209
1520000 33.4283
1530000 33.436
1540000 33.4439
1550000 33.4519
1560000 33.4596
1570000 33.467
1580000 33.4743
1590000 33.4817
1600000 33.4891
1610000 33.4964
1620000 33.5032
1630000 33.5103
1640000 33.5175
1650000 33.5247
1660000 33.5319
1670000 33.5389
1680000 33.5461
1690000 33.5532
1700000 33.5603
1710000 33.5674
1720000 33.5742
1730000 33.581
1740000 33.5876
1750000 33.5939
1760000 33.6003
1770000 33.6067
1780000 33.6132
1790000 33.6199
1800000 33.6265
1810000 33.633
1820000 33.6396
1830000 33.6461
1840000 33.6525
1850000 33.659
1860000 33.6654
1870000 33.6715
1880000 33.6778
1890000 33.6842
1900000 33.6907
1910000 33.6972
1920000 33.7038
1930000 33.7101
1940000 33.7163
1950000 33.7226
1960000 33.7289
1970000 33.7353
1980000 33.7421
1990000 33.7493
2000000 33.7566
2010000 33.7641
2020000 33.7716
2030000 33.7789
2040000 33.7862
2050000 33.7935
2060000 33.8011
2070000 33.8086
2080000 33.8157
2090000 33.8227
2100000 33.8297
2110000 33.8366
2120000 33.8436
2130000 33.8508
2140000 33.858
2150000 33.8652
2160000 33.8723
2170000 33.8794
2180000 33.8864
2190000 33.8934
2200000 33.9004
2210000 33.9074
2220000 33.9146
2230000 33.9219
2240000 33.9291
2250000 33.9363
2260000 33.9437
2270000 33.9512
2280000 33.9588
2290000 33.9663
2300000 33.9737
2310000 33.9809
2320000 33.988
2330000 33.9951
2340000 34.0021
2350000 34.009
2360000 34.0158
2370000 34.0229
2380000 34.0301
2390000 34.0372
2400000 34.0443
2410000 34.0513
2420000 34.0584
2430000 34.0654
2440000 34.0724
2450000 34.0796
2460000 34.0869
2470000 34.0942
2480000 34.1016
2490000 34.1092
2500000 34.1168
2510000 34.1242
2520000 34.1315
2530000 34.1386
2540000 34.1455
2550000 34.1521
2560000 34.1591
2570000 34.1662
2580000 34.1733
2590000 34.1804
2600000 34.1873
2610000 34.1942
2620000 34.201
2630000 34.2077
2640000 34.2144
2650000 34.221
2660000 34.2279
2670000 34.235
2680000 34.2423
2690000 34.2494
2700000 34.2565
2710000 34.2637
2720000 34.2707
2730000 34.2776
2740000 34.2842
2750000 34.2909
2760000 34.2976
2770000 34.3043
2780000 34.3109
2790000 34.3176
2800000 34.3244
2810000 34.3313
2820000 34.3383
2830000 34.3452
2840000 34.3519
2850000 34.3587
2860000 34.3655
2870000 34.3724
2880000 34.3792
2890000 34.3862
2900000 34.3931
2910000 34.3998
2920000 34.4065
2930000 34.4133
2940000 34.42
2950000 34.4267
2960000 34.4332
2970000 34.4396
2980000 34.4459
2990000 34.4523
3000000 34.4586
3010000 34.465
3020000 34.4714
3030000 34.4777
3040000 34.4839
3050000 34.49
3060000 34.4962
3070000 34.5022
3080000 34.5082
3090000 34.5143
3100000 34.5204
3110000 34.5264
3120000 34.5322
3130000 34.5379
3140000 34.5436
3150000 34.5491
3160000 34.5546
3170000 34.56
3180000 34.5653
3190000 34.5707
3200000 34.5759
3210000 34.5812
3220000 34.5863
3230000 34.5915
3240000 34.5966
3250000 34.6018
3260000 34.6072
3270000 34.6126
3280000 34.618
3290000 34.6235
3300000 34.6291
3310000 34.6348
3320000 34.6404
3330000 34.6459
3340000 34.6515
3350000 34.657
3360000 34.6624
3370000 34.6679
3380000 34.6733
3390000 34.6788
3400000 34.6842
3410000 34.6898
3420000 34.6952
3430000 34.7005
3440000 34.7056
3450000 34.7107
3460000 34.7157
3470000 34.7208
3480000 34.726
3490000 34.7312
3500000 34.7365
3510000 34.7417
3520000 34.7472
3530000 34.7527
3540000 34.7581
3550000 34.7634
3560000 34.7688
3570000 34.7741
3580000 34.7794
3590000 34.7848
3600000 34.7902
3610000 34.7955
3620000 34.8008
3630000 34.8061
3640000 34.8114
3650000 34.8168
3660000 34.8221
3670000 34.8274
3680000 34.8327
3690000 34.8379
3700000 34.8432
3710000 34.8483
3720000 34.8532
3730000 34.8584
3740000 34.8634
3750000 34.8684
3760000 34.8734
3770000 34.8784
3780000 34.8835
3790000 34.8887
3800000 34.8941
3810000 34.8993
3820000 34.9046
3830000 34.9098
3840000 34.915
3850000 34.9202
3860000 34.9254
3870000 34.9306
3880000 34.936
3890000 34.9414
3900000 34.947
3910000 34.9524
3920000 34.9577
3930000 34.963
3940000 34.9683
3950000 34.9735
3960000 34.9786
3970000 34.9838
3980000 34.9889
3990000 34.994
4000000 34.9993
4010000 35.0045
4020000 35.0096
4030000 35.0149
4040000 35.0201
4050000 35.0253
4060000 35.0305
4070000 35.0356
4080000 35.0407
4090000 35.0458
4100000 35.0509
4110000 35.056
4120000 35.0612
4130000 35.0663
4140000 35.0714
4150000 35.0766
4160000 35.0819
4170000 35.0873
4180000 35.0927
4190000 35.0981
4200000 35.1035
4210000 35.1089
4220000 35.1143
4230000 35.1198
4240000 35.1253
4250000 35.1308
4260000 35.1363
4270000 35.1415
4280000 35.1468
4290000 35.1522
4300000 35.1577
4310000 35.1633
4320000 35.1689
4330000 35.1747
4340000 35.1803
4350000 35.1861
4360000 35.1919
4370000 35.1977
4380000 35.2035
4390000 35.2093
4400000 35.215
4410000 35.2208
4420000 35.2266
4430000 35.2323
4440000 35.2379
4450000 35.2434
4460000 35.2489
4470000 35.2542
4480000 35.2596
4490000 35.2651
4500000 35.2705
4510000 35.2758
4520000 35.281
4530000 35.2863
4540000 35.2916
4550000 35.2969
4560000 35.3021
4570000 35.3075
4580000 35.3128
4590000 35.3183
4600000 35.3237
4610000 35.3291
4620000 35.3344
4630000 35.3397
4640000 35.3451
4650000 35.3504
4660000 35.3558
4670000 35.3611
4680000 35.3664
4690000 35.3717
4700000 35.3771
4710000 35.3824
4720000 35.3877
4730000 35.393
4740000 35.3984
4750000 35.4038
4760000 35.4092
4770000 35.4145
4780000 35.4199
4790000 35.4253
4800000 35.4306
4810000 35.436
4820000 35.4414
4830000 35.4469
4840000 35.4523
4850000 35.4576
4860000 35.463
4870000 35.4684
4880000 35.474
4890000 35.4795
4900000 35.4849
4910000 35.4905
4920000 35.496
4930000 35.5016
4940000 35.5071
4950000 35.5127
4960000 35.5182
4970000 35.5238
4980000 35.5293
4990000 35.5348
5000000 35.5401
5010000 35.5453
5020000 35.5503
5030000 35.5553
5040000 35.5604
5050000 35.5653
5060000 35.57
5070000 35.5746
5080000 35.5793
5090000 35.5843
5100000 35.5892
5110000 35.594
5120000 35.5985
5130000 35.6031
5140000 35.6076
5150000 35.6121
5160000 35.6166
5170000 35.621
5180000 35.6253
5190000 35.6296
5200000 35.6339
5210000 35.6382
5220000 35.6426
5230000 35.6469
5240000 35.6513
5250000 35.6558
5260000 35.6603
5270000 35.6649
5280000 35.6696
5290000 35.6741
5300000 35.6787
5310000 35.6834
5320000 35.6879
5330000 35.6924
5340000 35.6968
5350000 35.7012
5360000 35.7056
5370000 35.71
5380000 35.7144
5390000 35.7189
5400000 35.7234
5410000 35.7278
5420000 35.7322
5430000 35.7366
5440000 35.7411
5450000 35.7454
5460000 35.7497
5470000 35.7539
5480000 35.758
5490000 35.7621
5500000 35.7663
5510000 35.7704
5520000 35.7746
5530000 35.7788
5540000 35.7829
5550000 35.787
5560000 35.7911
5570000 35.7953
5580000 35.7995
5590000 35.8036
5600000 35.8078
5610000 35.8119
5620000 35.8161
5630000 35.8204
5640000 35.8247
5650000 35.829
5660000 35.8334
5670000 35.8378
5680000 35.8423
5690000 35.8467
5700000 35.8512
5710000 35.8557
5720000 35.8602
5730000 35.8648
5740000 35.8695
5750000 35.8743
5760000 35.8791
5770000 35.884
5780000 35.8888
5790000 35.8937
5800000 35.8986
5810000 35.9035
5820000 35.9085
5830000 35.9136
5840000 35.9187
5850000 35.9237
5860000 35.9286
5870000 35.9337
5880000 35.9386
5890000 35.9436
5900000 35.9485
5910000 35.9534
5920000 35.9583
5930000 35.9632
5940000 35.968
5950000 35.9728
5960000 35.9775
5970000 35.9821
5980000 35.9868
5990000 35.9915
6000000 35.9962
