# Chunk-averaged data for fix allDensity and group ave
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
8000000 33 27000
  1 1.58266 713.636 0.661929
  2 2.58266 712.038 0.660446
  3 3.58266 715.958 0.664082
  4 4.58266 723.468 0.671048
  5 5.58266 736.41 0.683052
  6 6.58266 760.104 0.70503
  7 7.58266 792.708 0.735271
  8 8.58266 818.214 0.758929
  9 9.58266 837.956 0.777241
  10 10.5827 852.898 0.7911
  11 11.5827 867.512 0.804655
  12 12.5827 866.056 0.803305
  13 13.5827 875.01 0.81161
  14 14.5827 866.114 0.803359
  15 15.5827 867.136 0.804307
  16 16.5827 869.59 0.806583
  17 17.5827 868.408 0.805486
  18 18.5827 874.57 0.811202
  19 19.5827 872.466 0.80925
  20 20.5827 873.702 0.810397
  21 21.5827 878.068 0.814446
  22 22.5827 877.796 0.814194
  23 23.5827 875.276 0.811857
  24 24.5827 874.788 0.811404
  25 25.5827 878.016 0.814398
  26 26.5827 871.844 0.808673
  27 27.5827 858.12 0.795944
  28 28.5827 841.61 0.78063
  29 29.5827 815.324 0.756249
  30 30.5827 781.416 0.724797
  31 31.5827 753.39 0.698802
  32 32.5827 729.038 0.676215
  33 33.5827 601.36 0.557788
9000000 33 54000
  1 1.58266 793.186 0.735715
  2 2.58266 791.704 0.73434
  3 3.58266 795.757 0.738099
  4 4.58266 801.701 0.743613
  5 5.58266 805.325 0.746974
  6 6.58266 807.582 0.749068
  7 7.58266 810.883 0.752129
  8 8.58266 809.902 0.751219
  9 9.58266 807.579 0.749065
  10 10.5827 805.734 0.747353
  11 11.5827 803.236 0.745036
  12 12.5827 800.218 0.742237
  13 13.5827 799.647 0.741708
  14 14.5827 792.196 0.734796
  15 15.5827 796.506 0.738794
  16 16.5827 798.324 0.74048
  17 17.5827 804.625 0.746325
  18 18.5827 821.101 0.761607
  19 19.5827 832.295 0.77199
  20 20.5827 848.651 0.787161
  21 21.5827 862.492 0.799999
  22 22.5827 867.102 0.804275
  23 23.5827 865.665 0.802942
  24 24.5827 871.384 0.808247
  25 25.5827 873.307 0.81003
  26 26.5827 869.703 0.806688
  27 27.5827 864.035 0.80143
  28 28.5827 858.719 0.796499
  29 29.5827 841.609 0.780629
  30 30.5827 824.558 0.764814
  31 31.5827 809.288 0.75065
  32 32.5827 799.943 0.741982
  33 33.5827 666.043 0.617784
10000000 33 81000
  1 1.58266 816.358 0.757208
  2 2.58266 806.652 0.748205
  3 3.58266 801.981 0.743872
  4 4.58266 793.639 0.736135
  5 5.58266 789.759 0.732536
  6 6.58266 785.403 0.728495
  7 7.58266 782.862 0.726139
  8 8.58266 779.233 0.722773
  9 9.58266 776.634 0.720362
  10 10.5827 776.639 0.720366
  11 11.5827 778.783 0.722355
  12 12.5827 779.054 0.722607
  13 13.5827 784.562 0.727716
  14 14.5827 789.5 0.732296
  15 15.5827 803.139 0.744946
  16 16.5827 813.867 0.754897
  17 17.5827 822.933 0.763307
  18 18.5827 834.223 0.773779
  19 19.5827 844.352 0.783173
  20 20.5827 854.944 0.792998
  21 21.5827 863.722 0.80114
  22 22.5827 867.631 0.804766
  23 23.5827 867.917 0.805031
  24 24.5827 871.856 0.808685
  25 25.5827 873.872 0.810554
  26 26.5827 870.079 0.807037
  27 27.5827 866.378 0.803603
  28 28.5827 865.185 0.802497
  29 29.5827 854.92 0.792976
  30 30.5827 842.78 0.781715
  31 31.5827 830.399 0.770232
  32 32.5827 824.432 0.764697
  33 33.5827 686.311 0.636583
11000000 33 108000
  1 1.58266 792.422 0.735006
  2 2.58266 788.428 0.731301
  3 3.58266 792.519 0.735096
  4 4.58266 792.772 0.735331
  5 5.58266 799.041 0.741145
  6 6.58266 800.329 0.74234
  7 7.58266 800.784 0.742762
  8 8.58266 801.079 0.743036
  9 9.58266 799.576 0.741641
  10 10.5827 798.783 0.740906
  11 11.5827 800.302 0.742315
  12 12.5827 800.88 0.742851
  13 13.5827 806.514 0.748077
  14 14.5827 809.227 0.750593
  15 15.5827 820.866 0.761389
  16 16.5827 830.2 0.770047
  17 17.5827 835.388 0.774858
  18 18.5827 845.474 0.784214
  19 19.5827 853.858 0.791991
  20 20.5827 861.586 0.799158
  21 21.5827 865.043 0.802366
  22 22.5827 869.697 0.806682
  23 23.5827 867.431 0.80458
  24 24.5827 866.834 0.804026
  25 25.5827 864.163 0.801548
  26 26.5827 854.102 0.792217
  27 27.5827 843.904 0.782758
  28 28.5827 836.621 0.776003
  29 29.5827 826.669 0.766772
  30 30.5827 813.43 0.754492
  31 31.5827 800.869 0.742841
  32 32.5827 797.018 0.739269
  33 33.5827 664.191 0.616067
12000000 33 135000
  1 1.58266 809.134 0.750507
  2 2.58266 806.008 0.747608
  3 3.58266 806.965 0.748495
  4 4.58266 805.731 0.747351
  5 5.58266 808.557 0.749972
  6 6.58266 805.052 0.746721
  7 7.58266 799.12 0.741219
  8 8.58266 794.636 0.73706
  9 9.58266 790.131 0.732881
  10 10.5827 786.726 0.729722
  11 11.5827 786.951 0.729932
  12 12.5827 785.132 0.728244
  13 13.5827 789.998 0.732757
  14 14.5827 792.446 0.735028
  15 15.5827 803.536 0.745315
  16 16.5827 813.592 0.754642
  17 17.5827 821.249 0.761745
  18 18.5827 835.424 0.774893
  19 19.5827 847.97 0.786529
  20 20.5827 859.678 0.797389
  21 21.5827 863.547 0.800977
  22 22.5827 868.836 0.805883
  23 23.5827 868.421 0.805498
  24 24.5827 867.795 0.804918
  25 25.5827 865.966 0.803222
  26 26.5827 857.113 0.79501
  27 27.5827 849.351 0.78781
  28 28.5827 844.338 0.783161
  29 29.5827 836.496 0.775887
