# Time-averaged data for fix rgnetA
# TimeStep c_gyrA
10000 31.3901
20000 31.399
30000 31.3919
40000 31.3975
50000 31.4027
60000 31.4072
70000 31.4104
80000 31.4181
90000 31.424
100000 31.4279
110000 31.4344
120000 31.444
130000 31.4534
140000 31.4637
150000 31.4716
160000 31.4783
170000 31.4822
180000 31.4851
190000 31.4889
200000 31.4915
210000 31.4919
220000 31.496
230000 31.5039
240000 31.5113
250000 31.5174
260000 31.5244
270000 31.5325
280000 31.5415
290000 31.5511
300000 31.5593
310000 31.5681
320000 31.5758
330000 31.5848
340000 31.5939
350000 31.6031
360000 31.6115
370000 31.6199
380000 31.6283
390000 31.6369
400000 31.646
410000 31.6528
420000 31.6595
430000 31.6654
440000 31.6722
450000 31.6812
460000 31.6895
470000 31.6971
480000 31.7045
490000 31.7096
500000 31.715
510000 31.7193
520000 31.724
530000 31.7283
540000 31.7328
550000 31.7369
560000 31.7416
570000 31.7461
580000 31.7507
590000 31.7542
600000 31.7574
610000 31.7611
620000 31.7643
630000 31.7669
640000 31.7691
650000 31.7717
660000 31.7737
670000 31.7754
680000 31.7776
690000 31.7792
700000 31.7809
710000 31.7823
720000 31.7838
730000 31.7857
740000 31.7871
750000 31.7885
760000 31.7907
770000 31.7932
780000 31.7958
790000 31.7986
800000 31.8012
810000 31.8032
820000 31.8055
830000 31.8075
840000 31.8091
850000 31.8105
860000 31.8122
870000 31.8138
880000 31.816
890000 31.8181
900000 31.8202
910000 31.8219
920000 31.8233
930000 31.8247
940000 31.8264
950000 31.8279
960000 31.8291
970000 31.8299
980000 31.8308
990000 31.8323
1000000 31.8335
1010000 31.8341
1020000 31.8345
1030000 31.8344
1040000 31.8344
1050000 31.8347
1060000 31.8352
1070000 31.8359
1080000 31.8368
1090000 31.8381
1100000 31.8392
1110000 31.8405
1120000 31.8423
1130000 31.8443
1140000 31.846
1150000 31.8473
1160000 31.849
1170000 31.8507
1180000 31.8525
1190000 31.8542
1200000 31.8559
1210000 31.8579
1220000 31.8603
1230000 31.863
1240000 31.8655
1250000 31.868
1260000 31.8706
1270000 31.8732
1280000 31.8757
1290000 31.8785
1300000 31.8815
1310000 31.8846
1320000 31.8875
